,First Name,Last Name,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
50,Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0
51,Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0
52,Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1
53,Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0
54,Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,14,7,0
55,Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0
56,Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1
57,Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,31,8,0
58,JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,11,6,0
59,Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,1,0
60,Talita,Alencar,,--,115 lbs.,--,,4,0,0
61,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0
62,John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0
63,Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1
64,Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0
65,Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,3,0
66,Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0
67,Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0
68,Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0
69,Levi,Alford,,--,--,--,,1,7,0
70,Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,17,7,0
71,Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0
72,Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0
73,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0
74,Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0
75,Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,14,1,0
76,Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0
77,John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0
78,George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2
79,Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,2,0
80,Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,21,5,0
81,Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0
82,Assu,Almabayev,Zulfikar,--,125 lbs.,--,,17,2,0
83,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0
84,Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0
85,Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0
86,Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0
87,Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0
88,Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,19,2,0
89,Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,14,1,0
90,Cesar,Almeida,Cesinha,--,185 lbs.,--,,3,0,0
91,Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0
92,Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0
93,Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0
94,Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0
95,Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,3,0
96,Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0
97,Patricia,Alujas,El Angel,--,115 lbs.,--,,9,2,0
98,Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0
99,Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0
100,Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0
101,Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,19,3,0
102,Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0
103,Anthony,Alves,,--,--,--,,1,4,0
104,Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0
105,Warlley,Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,15,6,0
106,Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0
107,Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1
108,Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1
109,Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1
110,Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0
111,Rayanne,Amanda,,"5' 2""",115 lbs.,"62.0""",Orthodox,11,6,0
112,Chris,Amarante,,--,185 lbs.,--,,2,0,0
113,Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1
114,JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0
115,Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0
116,Hyder,Amil,The Hurricane,--,145 lbs.,--,,7,0,0
117,Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0
118,Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,6,1,0
119,Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0
120,Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2
121,Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,15,8,0
122,Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1
123,Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0
124,Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0
125,Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0
126,Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0
127,Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0
128,Tatsuya,Ando,,--,135 lbs.,--,,13,3,1
129,Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0
130,Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,24,11,0
131,Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0
132,Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0
133,Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0
134,Fellipe,Andrew,,--,--,--,,0,0,0
135,Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0
136,Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0
137,,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0
138,Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0
139,Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0
140,Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,12,6,0
141,Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1
142,Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,18,1,1
143,Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0
144,Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0
145,Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0
146,Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0
147,Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0
148,Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0
149,,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,24,10,0
150,Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0
151,Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0
152,Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5
153,Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0
154,Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1
155,Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0
156,Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,11,5,0
157,Julio,Arce,,"5' 7""",135 lbs.,"70.0""",Southpaw,18,6,0
158,Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0
159,Tristan,Arenal,,--,155 lbs.,--,,7,4,0
160,Gabriel,Arges,,--,170 lbs.,--,,0,0,0
161,Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,1,0
162,Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0
163,Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0
164,Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,22,0
165,Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,8,3,0
166,Joey,Armstrong,,--,--,--,,5,2,0
167,Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0
168,Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0
169,Eli,Aronov,The Israeli Tank,--,185 lbs.,--,,6,0,0
170,Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0
171,Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1
172,Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0
173,Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0
174,Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0
175,Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0
176,Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0
177,Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0
178,Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1
179,Yanal,Ashmouz,Red Fox,"5' 9""",155 lbs.,"68.0""",Orthodox,7,0,0
180,,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0
181,Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0
182,Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1
183,Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0
184,Khusein,Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0
185,Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0
186,Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0
187,Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,--,,8,0,0
188,Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,12,3,0
189,Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0
190,Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0
191,Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0
192,Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0
193,Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0
194,Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0
195,Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1
196,Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0
197,Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0
198,David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0
199,Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0
200,Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0
201,Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0
202,Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0
203,Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,2,0
204,Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0
205,Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0
206,Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0
207,Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,3,1
208,Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,1,0
209,Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0
210,Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1
211,Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0
212,Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0
213,Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0
214,Abdul Azeem,Badakhshi,The Afghan Lion,--,145 lbs.,--,,13,3,0
215,Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0
216,Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0
217,Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,3,0
218,Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0
219,Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0
220,Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,7,2,0
221,Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1
222,Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,14,4,0
223,Bahatebole,Batebolati,,"5' 11""",155 lbs.,"71.0""",Southpaw,8,1,1
224,Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0
225,Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0
226,Scott,Baker,,"6' 0""",210 lbs.,--,,1,1,0
227,Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0
228,Jin,Bala,,"5' 9""",155 lbs.,--,,23,3,0
229,,Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,23,4,0
230,Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0
231,Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5,5,0
232,Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0
233,Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0
234,Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0
235,Yohan,Banks,,--,--,--,,2,1,0
236,Shauna,Bannon,Mama B,--,115 lbs.,--,,5,0,0
237,Antonio,Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1
238,Renan,Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0
239,Junior,Barata,,"5' 10""",170 lbs.,--,Orthodox,9,3,1
240,Maycee,Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,12,2,0
241,Bryan,Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,18,10,0
242,Edson,Barboza,Junior,"5' 11""",145 lbs.,"75.0""",Orthodox,23,11,0
243,Raoni,Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,17,4,0
244,Daniel,Barez,,"5' 6""",125 lbs.,"66.0""",Orthodox,12,5,0
245,Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0
246,James,Barnes,Mooka,"5' 8""",135 lbs.,"71.0""",Orthodox,14,5,0
247,Nick,Barnes,,"5' 11""",170 lbs.,--,,11,2,0
248,Shonte,Barnes,Shyne,"5' 11""",185 lbs.,"76.0""",Southpaw,6,2,1
249,Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0
250,Chris,Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,23,8,0
251,Chris,Barnhizer,,--,--,--,,2,3,0
252,David,Baron,,"5' 6""",155 lbs.,--,Switch,17,4,1
253,Phil,Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0
254,Dan,Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3,1,0
255,Carlos,Barreto,,"6' 4""",230 lbs.,--,Orthodox,14,9,0
256,Jose,Barreto,,--,185 lbs.,--,Southpaw,0,1,0
257,Peter,Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0
258,Marc-Andre,Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,16,6,0
259,David,Barrios,,"5' 6""",145 lbs.,--,,4,8,0
260,Alexandre,Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22,11,0
261,Ricardo,Barros,,"6' 1""",205 lbs.,--,,2,2,0
262,Francimar,Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0
263,Pat,Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0
264,Dean,Barry,The Sniper,"5' 10""",170 lbs.,"72.0""",Orthodox,4,2,0
265,Enrique,Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2
266,Javid,Basharat,The Snow Leopard,"5' 9""",135 lbs.,"69.0""",Orthodox,14,0,0
267,Farid,Basharat,Ferocious,"5' 8""",135 lbs.,"71.0""",Orthodox,10,0,0
268,Stephen,Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11,2,0
269,Sean,Bassett,,--,155 lbs.,--,,0,4,0
270,Ryan,Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6,7,0
271,Shayna,Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15,11,0
272,Michel,Batista,,"6' 3""",260 lbs.,--,Orthodox,4,1,0
273,Bryan,Battle,Pooh Bear,"6' 1""",170 lbs.,"77.0""",Orthodox,10,2,0
274,Alan,Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8,4,0
275,Mario,Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,12,2,0
276,Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0
277,Donovan,Beard,The Highlight Reel,"6' 2""",185 lbs.,"78.0""",Orthodox,7,2,0
278,Rudy,Bears,,"5' 11""",170 lbs.,--,Southpaw,16,15,0
279,Salvador,Becerra,,"5' 9""",155 lbs.,--,,5,2,0
280,Ariel,Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0
281,Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0
282,Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0
283,Johnny,Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1
284,Rolando,Bedoya,The Machine,"5' 11""",170 lbs.,"74.0""",Orthodox,14,2,0
285,Chase,Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1
286,Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24,3,0
287,Allan,Begosso,Mini,"5' 5""",135 lbs.,"66.0""",Orthodox,7,2,1
288,Mirsad,Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0
289,Diana,Belbita,The Warrior Princess,"5' 7""",115 lbs.,"68.0""",Orthodox,15,7,0
290,Alan,Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0
291,Vitor,Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0
292,Rodolfo,Bellato,Trator,"6' 3""",205 lbs.,"75.0""",Orthodox,8,2,0
293,Danilo,Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0
294,Joey,Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0
295,Marco,Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0
296,Joseph,Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0
297,Mike,Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0
298,Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1
299,Karla,Benitez,,"5' 3""",113 lbs.,--,,14,11,1
300,Gabriel,Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,23,11,0
301,Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2
302,Josh,Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0
303,DeAnna,Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1
304,Lance,Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0
305,Joe,Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0
306,Ryan,Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0
307,Pat,Benson,,"5' 9""",155 lbs.,--,,3,5,3
308,Len,Bentley,,"5' 9""",155 lbs.,--,,10,6,0
309,Steve,Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21,23,2
310,Kenneth,Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0
311,Bret,Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6,1,1
