,First Name,Last Name,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
104,Amilcar,Alves,,182.0,77.1,,Southpaw,15,12,0
105,Warlley,Alves,,180.0,77.1,182.0,Orthodox,15,6,0
106,Rafael,Alves,The Turn,172.0,70.3,172.0,Orthodox,20,12,0
107,Sam,Alvey,Smile'N,187.0,83.9,190.0,Southpaw,33,18,1
108,Andre,Amado,Dida,182.0,69.9,,Orthodox,6,4,1
109,Adlan,Amagov,Borz,187.0,77.1,193.0,Orthodox,14,2,1
110,Maiara,Amanajas dos Santos,,165.0,52.2,,Southpaw,7,3,0
111,Rayanne,Amanda,,157.0,52.2,157.0,Orthodox,11,6,0
112,Chris,Amarante,,,83.9,,,2,0,0
113,Jimmy,Ambriz,The Titan,187.0,142.9,,Southpaw,17,21,1
114,JJ,Ambrose,,177.0,77.1,,Orthodox,28,7,0
115,Alen,Amedovski,,177.0,83.9,187.0,Orthodox,8,4,0
116,Hyder,Amil,The Hurricane,,65.8,,,7,0,0
117,Makwan,Amirkhani,Mr. Finland,177.0,65.8,182.0,Southpaw,17,9,0
118,Jaqueline,Amorim,,160.0,52.2,172.0,Orthodox,6,1,0
119,Bertrand,Amoussou,,172.0,86.2,,Orthodox,1,1,0
120,Karl,Amoussou,The Psycho,180.0,83.9,,Orthodox,27,7,2
121,Eryk,Anders,Ya Boi,185.0,83.9,190.0,Southpaw,15,8,0
122,Matt,Andersen,,187.0,104.3,,Southpaw,14,8,1
123,Andy,Anderson,The Hammer,167.0,108.9,,,0,1,0
124,Lowell,Anderson,,167.0,72.6,,Orthodox,0,1,0
125,Corey,Anderson,Overtime,190.0,93.0,200.0,Orthodox,14,5,0
126,Derek,Anderson,Barbaric,182.0,70.3,,,14,3,0
127,Megan,Anderson,,182.0,65.8,182.0,Orthodox,11,5,0
128,Tatsuya,Ando,,,61.2,,,13,3,1
129,Alex,Andrade,El Toro,180.0,90.7,,Orthodox,10,5,0
130,Jessica,Andrade,Bate Estaca,154.0,52.2,157.0,Orthodox,24,11,0
131,Viscardi,Andrade,,180.0,77.1,190.0,Orthodox,19,6,0
132,Jermaine,Andre,,170.0,90.7,,Orthodox,14,4,0
133,Juan,Andres Luna,,170.0,56.7,182.0,Orthodox,12,1,0
135,Dylan,Andrews,The Villain,185.0,83.9,187.0,Switch,18,7,0
136,Reese,Andy,Riptide,182.0,93.0,,Orthodox,7,3,0
137,,Angga,The Hitman,170.0,65.8,172.0,Orthodox,13,3,0
138,Julius,Anglickas,,190.0,93.0,,Orthodox,5,1,0
139,Collin,Anglin,,175.0,65.8,180.0,Orthodox,8,3,0
140,Chad,Anheliger,The Monster,167.0,61.2,162.0,Orthodox,12,6,0
141,Yoji,Anjo,Mr. 200%,180.0,93.0,,Orthodox,0,5,1
142,Magomed,Ankalaev,,190.0,93.0,190.0,Orthodox,18,1,1
143,Gadzhimurad,Antigulov,,180.0,93.0,177.0,Orthodox,20,8,0
144,Adam,Antolin,Captain Chaos,165.0,56.7,160.0,Orthodox,12,3,0
145,Angelo,Antonio,,,93.0,,Orthodox,1,4,0
146,Azunna,Anyanwu,Zulu,185.0,113.9,,Orthodox,14,5,0
147,Shinsho,Anzai,Animal,170.0,77.1,177.0,Orthodox,10,3,0
148,Shinya,Aoki,Tobikan Judan,180.0,69.9,,Southpaw,39,7,0
149,,Aoriqileng,The Mongolian Murderer,170.0,61.2,175.0,Orthodox,24,10,0
150,Josh,Appelt,,177.0,115.7,,Southpaw,15,7,0
151,Erik,Apple,,182.0,77.1,,Orthodox,10,3,0
152,Kenji,Arai,,177.0,65.8,,Southpaw,15,15,5
153,Romie,Aram,,177.0,77.1,,Orthodox,7,1,0
154,Felipe,Arantes,Sertanejo,172.0,61.2,185.0,Orthodox,18,10,1
155,Igor,Araujo,,185.0,77.1,195.0,Orthodox,25,9,0
156,Viviane,Araujo,Vivi,162.0,56.7,172.0,Orthodox,11,5,0
157,Julio,Arce,,170.0,61.2,177.0,Southpaw,18,6,0
158,Art,Arciniega,King Arthur,172.0,65.8,,,15,7,0
159,Tristan,Arenal,,,70.3,,,7,4,0
160,Gabriel,Arges,,,77.1,,,0,0,0
161,Dan,Argueta,The Determined,170.0,61.2,172.0,Southpaw,9,1,0
162,Reza,Arianto,The Crazy Lion,,70.3,,,5,0,0
163,Hashem,Arkhagha,,187.0,83.9,190.0,Orthodox,6,1,0
164,Andrei,Arlovski,The Pitbull,190.0,108.9,195.0,Orthodox,34,22,0
165,Garrett,Armfield,,167.0,61.2,177.0,Orthodox,8,3,0
167,Austin,Arnett,,182.0,65.8,182.0,Orthodox,16,6,0
168,Ricardo,Arona,The Brazilian Tiger,180.0,93.0,,Orthodox,14,5,0
169,Eli,Aronov,The Israeli Tank,,83.9,,,6,0,0
170,Chalid,Arrab,Die Faust,180.0,93.0,,Orthodox,7,3,0
171,Akbarh,Arreola,El Caballero,177.0,70.3,180.0,Southpaw,23,11,1
172,Matt,Arroyo,No Regard,177.0,77.1,182.0,Orthodox,3,3,0
173,Antonio,Arroyo,,190.0,83.9,185.0,Orthodox,9,5,0
174,Gilles,Arsene,,175.0,86.2,,Southpaw,1,1,0
175,Veta,Arteaga,,170.0,56.7,,,3,1,0
176,Cesar,Arzamendia,Goku,180.0,70.3,,Orthodox,8,3,0
177,Teddy,Ash,Bear,185.0,83.9,185.0,Switch,14,5,0
178,Arman,Ashimov,Mustafa Ozturik,167.0,56.7,,,11,3,1
179,Yanal,Ashmouz,Red Fox,175.0,70.3,172.0,Orthodox,7,0,0
180,,Asjabharan,,167.0,61.2,,,7,6,0
181,Askar,Askar,AK-47,170.0,65.8,175.0,Orthodox,11,1,0
182,Askar,Askarov,Bullet,167.0,56.7,170.0,Orthodox,14,1,1
183,Cyril,Asker,Silverback,182.0,112.0,187.0,Orthodox,9,4,0
184,Khusein,Askhabov,Nohcho,172.0,65.8,175.0,Orthodox,23,1,0
185,Scott,Askham,,190.0,83.9,190.0,Southpaw,14,4,0
186,Ben,Askren,Funky,180.0,77.1,185.0,Orthodox,19,2,0
187,Ibo,Aslan,The Last Ottoman,190.0,93.0,,,8,0,0
188,Tom,Aspinall,,195.0,116.1,198.0,Orthodox,12,3,0
189,Bruno,Assis,Brunao,187.0,83.9,,Orthodox,8,4,0
190,Junior,Assuncao,,175.0,65.8,182.0,Orthodox,16,6,0
191,Raphael,Assuncao,,165.0,61.2,167.0,Orthodox,28,10,0
192,Bazigit,Atajev,Volk,185.0,104.3,,Orthodox,17,1,0
193,Rich,Attonito,The Raging Bull,177.0,77.1,182.0,Orthodox,10,5,0
194,Olivier,Aubin-Mercier,The Canadian Gangster,175.0,70.3,177.0,Southpaw,11,5,0
195,Pat,Audinwood,Awesomely Awesome,182.0,70.3,,Orthodox,11,2,1
196,Jose,Augusto,Gugu,190.0,113.9,,,6,2,0
197,Marcus,Aurelio,Maximus,177.0,70.3,187.0,Orthodox,22,10,0
198,David,Avellan,,175.0,83.9,,Orthodox,2,1,0
199,Blas,Avena,The Disciple,182.0,77.1,187.0,Orthodox,8,7,0
200,Levi,Avera,,185.0,77.1,,,18,15,0
201,Anthony,Avila,,170.0,65.8,,,13,5,0
202,Chris,Avila,,177.0,65.8,,Orthodox,5,4,0
203,Julia,Avila,Raging Panda,170.0,61.2,172.0,Orthodox,9,2,0
204,Saad,Awad,Assassin,180.0,70.3,,,20,9,0
205,Javy,Ayala,Eye Candy,185.0,120.2,,,10,5,0
206,Jessin,Ayari,,182.0,70.3,185.0,Orthodox,16,6,0
207,Abu,Azaitar,Captain Morocco,175.0,83.9,193.0,Orthodox,14,3,1
208,Ottman,Azaitar,Bulldozer,172.0,70.3,180.0,Switch,13,1,0
209,Luiz,Azeredo,,175.0,69.9,,Orthodox,15,10,0
210,Luciano,Azevedo,,190.0,73.0,,Orthodox,17,9,1
211,Hunter,Azure,,172.0,65.8,175.0,Orthodox,9,2,0
212,Niklas,Backstrom,,185.0,65.8,,Orthodox,11,3,0
213,Seth,Baczynski,The Polish Pistola,190.0,77.1,190.0,Orthodox,20,14,0
214,Abdul Azeem,Badakhshi,The Afghan Lion,,65.8,,,13,3,0
215,Ryan,Bader,Darth,187.0,93.0,187.0,Orthodox,23,5,0
216,Izabela,Badurek,,165.0,52.2,,Orthodox,6,3,0
217,Miguel,Baeza,Caramel Thunder,187.0,77.1,187.0,Orthodox,10,3,0
218,Ali,Bagautinov,Puncher,162.0,56.7,165.0,Orthodox,15,6,0
219,Mehdi,Baghdad,The Sultan,185.0,70.3,,Orthodox,11,5,0
220,Melsik,Baghdasaryan,The Gun,175.0,65.8,177.0,Southpaw,7,2,0
221,Siyar,Bahadurzada,The Great,180.0,77.1,185.0,Orthodox,24,8,1
222,Ignacio,Bahamondes,La Jaula,190.0,70.3,190.0,Orthodox,14,4,0
223,Bahatebole,Batebolati,,180.0,70.3,180.0,Southpaw,8,1,1
224,Shamar,Bailey,,175.0,70.3,190.0,Southpaw,16,11,0
225,Jordan,Bailey,,175.0,65.8,,,6,3,0
226,Scott,Baker,,182.0,95.3,,,1,1,0
227,Bryan,Baker,The Beast,190.0,83.9,,Orthodox,18,5,0
228,Jin,Bala,,175.0,70.3,,,23,3,0
229,,Balajin,The Snow Leopard,175.0,65.8,182.0,Orthodox,23,4,0
230,Oluwale,Bamgbose,Holy War Angel,180.0,83.9,198.0,Switch,6,4,0
231,Stephen,Banaszak,,182.0,65.8,,,5,5,0
232,Marcin,Bandel,Bomba,177.0,70.3,,Orthodox,15,7,0
233,Humberto,Bandenay,,180.0,65.8,180.0,Southpaw,14,7,0
234,Tae Hyun,Bang,Supernatural,175.0,70.3,180.0,Switch,18,10,0
236,Shauna,Bannon,Mama B,,52.2,,,5,0,0
237,Antonio,Banuelos,,165.0,61.2,160.0,Orthodox,20,11,1
238,Renan,Barao,The Baron,167.0,65.8,177.0,Orthodox,34,9,0
239,Junior,Barata,,177.0,77.1,,Orthodox,9,3,1
240,Maycee,Barber,The Future,165.0,56.7,165.0,Switch,12,2,0
241,Bryan,Barberena,Bam Bam,182.0,77.1,182.0,Southpaw,18,10,0
242,Edson,Barboza,Junior,180.0,65.8,190.0,Orthodox,23,11,0
243,Raoni,Barcelos,,170.0,61.2,170.0,Orthodox,17,4,0
244,Daniel,Barez,,167.0,56.7,167.0,Orthodox,12,5,0
245,Luke,Barnatt,The Bigslow,198.0,83.9,195.0,Orthodox,13,4,0
246,James,Barnes,Mooka,172.0,61.2,180.0,Orthodox,14,5,0
247,Nick,Barnes,,180.0,77.1,,,11,2,0
248,Shonte,Barnes,Shyne,180.0,83.9,193.0,Southpaw,6,2,1
249,Josh,Barnett,The Warmaster,190.0,113.4,198.0,Orthodox,35,8,0
250,Chris,Barnett,Beastboy,175.0,120.2,190.0,Orthodox,23,8,0
252,David,Baron,,167.0,70.3,,Switch,17,4,1
253,Phil,Baroni,The New York Bad Ass,175.0,77.1,182.0,Orthodox,15,18,0
254,Dan,Barrera,The Fireman,175.0,77.1,,Orthodox,3,1,0
255,Carlos,Barreto,,193.0,104.3,,Orthodox,14,9,0
256,Jose,Barreto,,,83.9,,Southpaw,0,1,0
257,Peter,Barrett,Slippery,177.0,65.8,185.0,Southpaw,11,5,0
258,Marc-Andre,Barriault,Powerbar,185.0,83.9,187.0,Orthodox,16,6,0
259,David,Barrios,,167.0,65.8,,,4,8,0
260,Alexandre,Barros,Baixinho,175.0,77.1,,Southpaw,22,11,0
261,Ricardo,Barros,,185.0,93.0,,,2,2,0
262,Francimar,Barroso,Bodao,185.0,93.0,190.0,Orthodox,19,7,0
263,Pat,Barry,HD,180.0,106.6,187.0,Orthodox,8,7,0
264,Dean,Barry,The Sniper,177.0,77.1,182.0,Orthodox,4,2,0
265,Enrique,Barzola,El Fuerte,170.0,65.8,177.0,Orthodox,17,5,2
266,Javid,Basharat,The Snow Leopard,175.0,61.2,175.0,Orthodox,14,0,0
267,Farid,Basharat,Ferocious,172.0,61.2,180.0,Orthodox,10,0,0
268,Stephen,Bass,Bigfish,175.0,65.8,,Orthodox,11,2,0
269,Sean,Bassett,,,70.3,,,0,4,0
270,Ryan,Bastianelli,Relentless,165.0,61.2,,,6,7,0
271,Shayna,Baszler,The Queen of Spades,170.0,61.2,,Orthodox,15,11,0
272,Michel,Batista,,190.0,117.9,,Orthodox,4,1,0
273,Bryan,Battle,Pooh Bear,185.0,77.1,195.0,Orthodox,10,2,0
274,Alan,Baudot,The Black Samourai,190.0,110.2,200.0,Orthodox,8,4,0
275,Mario,Bautista,,175.0,61.2,175.0,Switch,12,2,0
276,Chris,Beal,Real Deal,170.0,56.7,175.0,Orthodox,10,5,0
277,Donovan,Beard,The Highlight Reel,187.0,83.9,198.0,Orthodox,7,2,0
278,Rudy,Bears,,180.0,77.1,,Southpaw,16,15,0
279,Salvador,Becerra,,175.0,70.3,,,5,2,0
280,Ariel,Beck,,167.0,56.7,167.0,Southpaw,4,5,0
281,Jeff,Bedard,Little Popeye,167.0,65.8,,Orthodox,13,3,0
282,Eric,Bedard,Lucky Strikes,187.0,108.4,,,6,7,0
283,Johnny,Bedford,Brutal,177.0,61.2,180.0,Orthodox,21,13,1
284,Rolando,Bedoya,The Machine,180.0,77.1,187.0,Orthodox,14,2,0
285,Chase,Beebe,,170.0,61.2,170.0,Orthodox,24,13,1
286,Lyle,Beerbohm,Fancy Pants,177.0,70.3,,Southpaw,24,3,0
287,Allan,Begosso,Mini,165.0,61.2,167.0,Orthodox,7,2,1
288,Mirsad,Bektic,,172.0,65.8,177.0,Orthodox,13,4,0
289,Diana,Belbita,The Warrior Princess,170.0,52.2,172.0,Orthodox,15,7,0
290,Alan,Belcher,The Talent,187.0,83.9,190.0,Orthodox,18,8,0
291,Vitor,Belfort,The Phenom,182.0,83.9,187.0,Southpaw,26,14,0
292,Rodolfo,Bellato,Trator,190.0,93.0,190.0,Orthodox,8,2,0
293,Danilo,Belluardo,Caterpillar,182.0,70.3,187.0,Southpaw,12,5,0
294,Joey,Beltran,The Mexicutioner,185.0,83.9,190.0,Orthodox,17,14,0
295,Marco,Beltran,Psycho,172.0,56.7,175.0,Orthodox,8,6,0
296,Joseph,Benavidez,,162.0,56.7,165.0,Southpaw,28,8,0
297,Mike,Bencic,Batman,182.0,97.5,,Orthodox,1,2,0
298,Dave,Beneteau,Dangerous,187.0,113.4,,Orthodox,6,5,1
299,Karla,Benitez,,160.0,51.3,,,14,11,1
300,Gabriel,Benitez,Moggly,172.0,70.3,180.0,Southpaw,23,11,0
301,Charles,Bennett,Krazy Horse,172.0,70.3,,Orthodox,30,33,2
302,Josh,Bennett,,193.0,117.5,,Orthodox,11,14,0
303,DeAnna,Bennett,The Argentine Assassin,162.0,56.7,172.0,Orthodox,8,3,1
304,Lance,Benoist,,180.0,77.1,182.0,Southpaw,7,2,0
305,Joe,Benoit,,175.0,77.1,,Orthodox,11,4,0
306,Ryan,Benoit,Baby Face,165.0,56.7,172.0,Orthodox,10,8,0
307,Pat,Benson,,175.0,70.3,,,3,5,3
308,Len,Bentley,,175.0,70.3,,,10,6,0
309,Steve,Berger,The Red Nosed Pitbull,180.0,77.1,,Orthodox,21,23,2
310,Kenneth,Bergh,,187.0,93.0,187.0,Orthodox,8,0,0
311,Bret,Bergmark,The Angry Hick,175.0,77.1,,,6,1,1
312,Keith,Berish,Sha Bang Bang,182.0,93.0,,Orthodox,5,1,0
313,Dennis,Bermudez,The Menace,167.0,70.3,167.0,Orthodox,17,9,0
314,Manny,Bermudez,The Bermudez Triangle,177.0,65.8,180.0,Orthodox,14,2,0
315,Talita,Bernardo,,162.0,61.2,172.0,Orthodox,6,4,0
317,Keith,Berry,,185.0,83.9,,,15,14,1
318,Dieusel,Berto,,175.0,90.7,,,0,3,0
319,Edson,Berto,Little Tiger,167.0,70.3,,Orthodox,17,12,1
320,Allen,Berube,Monstah Lobstah,172.0,70.3,,Orthodox,4,3,0
321,Anton,Berzin,The Body Snatcher,187.0,93.0,,Orthodox,5,1,0
322,Scott,Bessac,,193.0,111.1,,,4,6,0
323,Matt,Bessette,The Mangler,177.0,65.8,177.0,Orthodox,22,9,0
324,Khadzhi,Bestaev,Best,198.0,83.9,193.0,,10,4,0
325,Fernando,Bettega,,,77.1,,,7,5,0
326,Arjan,Bhullar,,185.0,111.1,190.0,Orthodox,9,1,0
327,KB,Bhullar,The Bengal,193.0,83.9,198.0,Switch,8,2,0
328,Bibulatov,Magomed,Chaborz,165.0,56.7,165.0,Orthodox,14,2,0
329,David,Bielkheden,,177.0,70.3,180.0,Orthodox,24,12,0
330,Blake,Bilder,El Animal,172.0,65.8,172.0,Switch,8,1,1
331,Jonas,Bilharinho,,180.0,65.8,190.0,Switch,9,1,1
332,Jeremiah,Billington,,175.0,93.0,,Orthodox,11,2,0
333,Scott,Bills,,177.0,77.1,,,7,9,1
334,Anthony,Birchak,El Toro,172.0,61.2,175.0,Orthodox,16,8,0
335,Chris,Birchler,The Big Buck,190.0,93.0,,Switch,7,4,0
336,Michael,Bisping,The Count,185.0,83.9,190.0,Orthodox,30,9,0
337,Amaury,Bitetti,,175.0,83.9,,Orthodox,5,2,0
338,Caio,Bittencourt,Leao,182.0,83.9,190.0,Orthodox,14,7,0
339,Simon,Biyong,,,93.0,,,7,1,0
340,Jan,Blachowicz,,187.0,93.0,198.0,Orthodox,29,9,1
341,Jason,Black,The Black Legion,172.0,70.3,,Orthodox,23,4,1
342,Brad,Blackburn,Bad Brad,177.0,77.1,185.0,Orthodox,18,13,1
344,Tom,Blackledge,,,93.0,,Orthodox,10,7,0
345,Sherrard,Blackledge,The Thriller,180.0,70.3,190.0,Orthodox,5,1,0
346,Da'Mon,Blackshear,The Monster,177.0,61.2,182.0,Switch,13,5,1
347,Erin,Blanchfield,Cold Blooded,162.0,56.7,167.0,Orthodox,11,1,0
348,Maximo,Blanco,Maxi,172.0,65.8,180.0,Orthodox,12,8,1
349,David,Blanco,,170.0,65.8,,,2,0,0
350,Curtis,Blaydes,Razor,193.0,120.2,203.0,Orthodox,17,4,0
351,Tereza,Bleda,,175.0,56.7,180.0,Orthodox,6,1,0
352,Arlene,Blencowe,Angerfist,165.0,65.8,,,9,6,0
353,Byron,Bloodworth,,172.0,61.2,,Orthodox,6,3,0
354,Dashawn,Boatwright,"Buck, the 400-pound Silverback",182.0,93.0,,Orthodox,3,1,0
355,Dan,Bobish,,187.0,156.5,,Southpaw,17,9,0
356,Mark,Bocek,,172.0,70.3,190.0,Orthodox,12,5,0
357,Kyle,Bochniak,Killer B,170.0,65.8,177.0,Orthodox,8,5,0
358,James,Bochnovic,,193.0,93.0,205.0,Orthodox,8,3,0
360,Tim,Boetsch,The Barbarian,182.0,83.9,187.0,Orthodox,21,13,0
361,Galore,Bofando,,180.0,77.1,182.0,Switch,5,3,0
362,Jay,Bogan,,,65.8,,,6,6,0
363,Roman,Bogatov,,172.0,70.3,185.0,Orthodox,10,1,0
364,Derek,Bohi,Marshmallow,193.0,117.9,,,8,5,0
365,Jerry,Bohlander,,180.0,90.3,,Orthodox,11,4,0
366,Mandy,Bohm,Monster,170.0,56.7,180.0,Orthodox,8,2,0
367,Kotetsu,Boku,,175.0,69.9,,Orthodox,25,11,2
368,Gaston,Bolanos,The Dreamkiller,170.0,61.2,175.0,Orthodox,7,3,0
369,Kyle,Bolt,,187.0,83.9,,,8,4,0
370,Denys,Bondar,Psycho,167.0,56.7,175.0,Orthodox,16,4,0
371,Luc,Bondole,,187.0,93.0,,,5,2,2
372,Tony,Bonello,The Gun,187.0,83.9,,,16,3,1
373,Gabriel,Bonfim,Marretinha,185.0,77.1,182.0,Orthodox,14,0,0
374,Ismael,Bonfim,Marreta,172.0,70.3,180.0,Orthodox,19,3,0
375,Jesse,Bongfeldt,Water,182.0,83.9,,Orthodox,16,5,1
376,Marcos,Bonilla,Murder Marx,177.0,65.8,,,4,4,0
377,Stephan,Bonnar,The American Psycho,193.0,93.0,200.0,Orthodox,15,9,0
378,Rogerio,Bontorin,,165.0,56.7,170.0,Orthodox,16,4,0
379,Ray,Borg,The Tazmexican Devil,162.0,61.2,160.0,Orthodox,13,5,0
380,Igor,Borisov,,182.0,106.6,,Orthodox,1,1,0
